GEOID,prop_age_under18,prop_age_65plus,female_led_hh_prop,eng_lim_prop,usentry_2010_prop,forborn_prop,uscitizen_no_prop,disability_prop,single_parent_prop,publictrans_taxi_mcycle_bike_walk_prop,travel_time_work_minute,prop_living_alone,income1yr_median,poverty1yr_prop,service_manual_prop,gini_index,unemployment_prop,education_less_hs_prop,vehicle_avail_no_prop,pop_density,group_quarters_prop,occ_room_1_01plus_prop,age_structure_2019,str_units_1att_2plus_mobile_boat_rv_van_prop,str_units_20plus,move1yr_prop,str_vacancy_prop,pop,nmiss,flag_pop_lt20,flag_missing_var
36047017500,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081033100,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081061302,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081001900,0.117,0.016,0.0314637482900137,0.0092680608365019,0.405695862439549,0.404313905461221,0.244148692060578,0.019,0.156626506024096,0.857965451055662,97120,0.332877336981304,141914,0.104635153740248,0.0877910635619887,0.4397,0.0405949798574527,0.0323256510026938,0.715291106845809,13004.6687812955,0,0.0911992704058368,,1,0.938947368421053,0.355995343422584,0.422894736842105,4358,1,0,1
36085022800,0,0,0,0.173913043478261,1,0.782608695652174,0.782608695652174,0,,0,655,0,,0,0,0.318,0,0,0.526315789473684,6.22709142554739,0,0,,1,1,0,0,23,3,0,1
36005050400,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36061010200,0.164,0.303,0,0.0185185185185185,0.333333333333333,0.0737704918032787,0.0327868852459016,0.213,0,0.666666666666667,,0.651515151515152,,0.172131147540984,0.142857142857143,0.4974,0,0,0.673076923076923,1827.61710821616,0.10655737704918,0,43,0.942857142857143,0.853968253968254,0.284313725490196,0.79047619047619,122,2,0,1
36047005201,0.127,0.428,0.0075046904315197,0.234016887816647,0.0488165680473373,0.351493848857645,0.0568248388986526,0.273,0.0414746543778802,0.76510989010989,36530,0.690431519699812,,0.250732278851787,0.166666666666667,0.6565,0.0250737463126844,0.191387559808612,0.483516483516484,33072.8295178122,0.0181605155243117,0,56,0.897260273972603,0.791095890410959,0.0984486873508353,0.0873287671232877,1707,1,0,1
36061014300,0,0,,0,,0,0,0.5,,,,,,0.5,,,,0,,1.73118347674706,1,,,,,,,2,17,1,1
36081021900,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36005033400,0,0.333,0,0.0666666666666667,1,0.0666666666666667,0.0666666666666667,0.4,,0.666666666666667,,0,,0.2,0.666666666666667,,0.4,0.0769230769230769,,12.7605987867029,0.333333333333333,0,,0,0,0,0,15,6,1,1
36081029900,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081010701,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36005011000,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36061006200,0.092,0.131,0.0128378378378378,0.0552613400874971,0.586511885019348,0.391314131413141,0.298379837983798,0.082,0.0761670761670762,0.914370078740158,55455,0.485810810810811,87500,0.255113322277501,0.175675675675676,0.4952,0.0437810945273632,0.185801087304125,0.821297429620563,39213.6331065666,0.354635463546355,0.0682432432432432,,0.993567251461988,0.968421052631579,0.140449438202247,0.134502923976608,4444,1,0,1
36081065501,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36081107202,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
36047017700,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,26,1,1
